hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
마우가,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,50.6,6.1,0.3385389349988816,1.9600947840472696,-0.2530429598372271,0.1019061770644381,A
메르시,Support,All,antarctic-peninsula,남극 반도,2026-04-26,46.5,6.2,-0.977232278909394,1.9740810260220096,-0.2324814917139281,-0.6793319640312077,C
메이,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,51.2,5.7,0.5310908199610687,1.9021075263969205,-0.3382912453944598,0.1833379938188572,A
모이라,Support,All,antarctic-peninsula,남극 반도,2026-04-26,51.1,18.8,0.4989988391340371,2.9856819377004897,1.2546942583226763,0.8012770068094928,S
미즈키,Support,All,antarctic-peninsula,남극 반도,2026-04-26,51.8,13.0,0.7236427049232536,2.6390573296152584,0.7451141407494549,0.7322312792537341,S
바스티온,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,49.3,5.5,-0.078656815752524,1.8718021769015911,-0.3828437762843905,-0.2003315999652707,B
바티스트,Support,All,antarctic-peninsula,남극 반도,2026-04-26,44.7,5.3,-1.5548879337959531,1.840549633397487,-0.4287887969834628,-1.104448279070957,C
벤데타,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,45.6,2.6,-1.2660601063526735,1.2809338454620642,-1.251491722165981,-1.2602327526779966,C
벤처,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,52.0,3.1,0.7878266665773166,1.410986973710262,-1.06029788642081,0.0485768453780658,B
브리기테,Support,All,antarctic-peninsula,남극 반도,2026-04-26,49.4,5.9,-0.0465648349254925,1.9315214116032136,-0.2950492748820183,-0.1459586109081028,B
소전,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,45.0,11.5,-1.4586119913148603,2.5257286443082556,0.57850725988726,-0.6437642908340122,C
솔저: 76,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,51.0,16.5,0.4669068583070055,2.862200880929469,1.0731621629096169,0.7094089801480501,S
솜브라,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,47.5,2.8,-0.656312470639083,1.33500106673234,-1.1720063644357246,-0.8625900281577397,C
시그마,Tank,All,antarctic-peninsula,남극 반도,2026-04-26,52.3,9.5,0.884102609058409,2.3513752571634776,0.3221866829630768,0.6593362386202761,S
시메트라,Damage,All,antarctic-peninsula,남극 반도,2026-04-26,55.8,3.1,2.0073219380044978,1.410986973710262,-1.06029788642081,0.7802740082343746,S
